state,county_name,frac_under_25mbpsDL,samples,BB_state,BB_county_name,frac_BB,BB_samples,DLmed_state,DLmed_county_name,DLmbps,ULmed_state,ULmed_county_name,ULmbps,ul_sample_size,ul_sample_state,ul_sample_county_name,dl_sample_size,dl_sample_state,dl_sample_county_name
MO,Putnam,0.8529411764705882,34,MO,Putnam,0.10208730376132821,195789136,MO,Putnam,9.2418818473459776,MO,Putnam,7.5495139562099869,2321,MO,Putnam,2503,MO,Putnam
MO,Carter,0.36734693877551022,49,MO,Carter,0.43918374760995887,282166696,MO,Carter,86.618574696757832,MO,Carter,68.263981412935848,3577,MO,Carter,4887,MO,Carter
MO,Bollinger,0.83333333333333337,36,MO,Bollinger,0.11569894426283864,207306144,MO,Bollinger,4.3993171858451721,MO,Bollinger,1.4971366027731681,3274,MO,Bollinger,2633,MO,Bollinger
MO,Bates,0.81889763779527558,127,MO,Bates,0.12572011266355695,731330008,MO,Bates,8.90383900544097,MO,Bates,2.2973988429066923,6365,MO,Bates,6512,MO,Bates
MO,St. Charles,0.53271547729379054,5395,MO,St. Charles,0.3243859556848373,31067129080,MO,St. Charles,20.8338944,MO,St. Charles,7.438182062879541,641269,MO,St. Charles,656069,MO,St. Charles
MO,Jasper,0.562111801242236,966,MO,Jasper,0.30397921380857607,5562714864,MO,Jasper,17.323793795956433,MO,Jasper,5.485982991279756,93182,MO,Jasper,89339,MO,Jasper
MO,Carroll,0.89743589743589747,39,MO,Carroll,0.071199350315593,224581656,MO,Carroll,10.552646809139532,MO,Carroll,2.6851713256251553,5743,MO,Carroll,5457,MO,Carroll
MO,Pulaski,0.833578792341679,679,MO,Pulaski,0.1155285481740863,3910024216,MO,Pulaski,7.5118070188668149,MO,Pulaski,1.2573379676786769,53753,MO,Pulaski,53360,MO,Pulaski
MO,Gentry,0.68181818181818177,44,MO,Gentry,0.22087980268360102,253374176,MO,Gentry,16.6199296,MO,Gentry,6.6579520183542948,1408,MO,Gentry,1462,MO,Gentry
MO,Camden,0.56228956228956228,594,MO,Camden,0.30385581321553579,3420551376,MO,Camden,18.630596686379757,MO,Camden,7.5638595206062158,64744,MO,Camden,54377,MO,Camden
MO,Andrew,0.51639344262295084,122,MO,Andrew,0.3357166087626629,702537488,MO,Andrew,21.659648,MO,Andrew,22.053660717979259,10751,MO,Andrew,9928,MO,Andrew
MO,Clay,0.53193403298350828,3335,MO,Clay,0.32492842937503646,19204610840,MO,Clay,20.592155351482955,MO,Clay,9.1643856330222526,291062,MO,Clay,283517,MO,Clay
MO,Cooper,0.61764705882352944,102,MO,Cooper,0.26542698977945334,587367408,MO,Cooper,16.351232,MO,Cooper,5.4113219584484629,12109,MO,Cooper,11739,MO,Cooper
MO,Caldwell,0.90566037735849059,53,MO,Caldwell,0.065489968450663377,305200712,MO,Caldwell,3.8598154901188519,MO,Caldwell,0.37441947955891003,3328,MO,Caldwell,3679,MO,Caldwell
MO,Audrain,0.61363636363636365,176,MO,Audrain,0.2682111889729441,1013496704,MO,Audrain,19.028612076103617,MO,Audrain,9.2145063665823841,22475,MO,Audrain,19871,MO,Audrain
MO,Sullivan,0.82456140350877194,57,MO,Sullivan,0.12178836238193541,328234728,MO,Sullivan,8.9170325619236781,MO,Sullivan,2.8303041996287792,2593,MO,Sullivan,2794,MO,Sullivan
MO,Livingston,0.80701754385964908,114,MO,Livingston,0.13396719862012896,656469456,MO,Livingston,9.0825090718097581,MO,Livingston,2.35399873614698,9075,MO,Livingston,10176,MO,Livingston
MO,St. Louis,0.49618594173962011,19533,MO,St. Louis,0.34974452787301336,112480858632,MO,St. Louis,24.097190986664192,MO,St. Louis,8.0120662283116477,2187489,MO,St. Louis,1999850,MO,St. Louis
MO,Scotland,0.83870967741935487,31,MO,Scotland,0.11196672025435997,178513624,MO,Scotland,9.4371839999999985,MO,Scotland,0.8625179114484357,2318,MO,Scotland,2507,MO,Scotland
MO,Miller,0.84848484848484851,33,MO,Miller,0.1051808584207624,190030632,MO,Miller,5.0320511397623182,MO,Miller,1.3346103319171281,17394,MO,Miller,13924,MO,Miller
MO,Platte,0.57049891540130149,922,MO,Platte,0.29815693228688134,5309340688,MO,Platte,15.728639999999999,MO,Platte,8.9877996618505662,105360,MO,Platte,92854,MO,Platte
MO,Polk,0.86818181818181817,440,MO,Polk,0.091507346826063291,2533741760,MO,Polk,8.4393903207376528,MO,Polk,1.1484478042405439,30830,MO,Polk,33017,MO,Polk
MO,Wright,0.95049504950495045,101,MO,Wright,0.034366023048367909,581608904,MO,Wright,2.6351171250935219,MO,Wright,1.1071269539829811,6945,MO,Wright,6256,MO,Wright
MO,Pike,0.66315789473684206,95,MO,Pike,0.23383365577331597,547057880,MO,Pike,11.599872,MO,Pike,2.6519063283966817,7891,MO,Pike,6883,MO,Pike
MO,Oregon,0.90654205607476634,107,MO,Oregon,0.064877912670750632,616159928,MO,Oregon,4.1364817791570312,MO,Oregon,1.7070491044883838,4147,MO,Oregon,4228,MO,Oregon
MO,Moniteau,0.4329896907216495,97,MO,Moniteau,0.39361496501790466,558574888,MO,Moniteau,28.244994512393887,MO,Moniteau,48.975052789912354,15016,MO,Moniteau,13622,MO,Moniteau
MO,Dunklin,0.855072463768116,207,MO,Dunklin,0.10060777761985969,1192010328,MO,Dunklin,4.3722447412863605,MO,Dunklin,1.0157531319418223,16903,MO,Dunklin,35835,MO,Dunklin
MO,Montgomery,0.86,50,MO,Montgomery,0.097187113180784448,287925200,MO,Montgomery,2.3527424,MO,Montgomery,1.6383339568642998,3946,MO,Montgomery,4023,MO,Montgomery
MO,Callaway,0.68131868131868134,364,MO,Callaway,0.22122655276630684,2096095456,MO,Callaway,21.691022363704377,MO,Callaway,8.2908605565540974,40698,MO,Callaway,32720,MO,Callaway
MO,Adair,0.464,250,MO,Adair,0.37208780474928904,1439626000,MO,Adair,26.259022247840804,MO,Adair,3.46930983097632,22051,MO,Adair,22523,MO,Adair
MO,Ste. Genevieve,0.88461538461538458,104,MO,Ste. Genevieve,0.080099269105042128,598884416,MO,Ste. Genevieve,4.9641661074459886,MO,Ste. Genevieve,1.3106745603669365,7148,MO,Ste. Genevieve,10649,MO,Ste. Genevieve
MO,Franklin,0.6506696428571429,896,MO,Franklin,0.24250292112233365,5159619584,MO,Franklin,11.010048000000001,MO,Franklin,3.994036250716523,87446,MO,Franklin,85855,MO,Franklin
MO,Washington,0.7407407407407407,108,MO,Washington,0.17997613551997121,621918432,MO,Washington,9.7897765739207561,MO,Washington,2.5319106820793222,11421,MO,Washington,11677,MO,Washington
MO,Scott,0.543859649122807,228,MO,Scott,0.31664974219303205,1312938912,MO,Scott,20.701726119666574,MO,Scott,6.6112505386853755,29881,MO,Scott,30399,MO,Scott
MO,Taney,0.82884097035040427,742,MO,Taney,0.1188175141890607,4272809968,MO,Taney,6.8815043903203792,MO,Taney,2.2699234835957736,76611,MO,Taney,63097,MO,Taney
MO,Lewis,0.58064516129032262,31,MO,Lewis,0.29111347266133591,178513624,MO,Lewis,20.860108800000003,MO,Lewis,7.4402159231997436,3350,MO,Lewis,3717,MO,Lewis
MO,Maries,0.96551724137931039,29,MO,Maries,0.023937712606104545,166996616,MO,Maries,4.1617094926988063,MO,Maries,0.65533563379259818,6966,MO,Maries,7150,MO,Maries
